date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:08	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6442febb-7284080f7080481a;gz%22	https://worldigitalinvestory.com/robots.txt		(from )
11:45:10	99541/99541	---MCZ	200	added ('OK')	text/html	etag:%2217566-1693046705;gz%22	https://worldigitalinvestory.com/	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/index.html	(from )
11:45:11	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-64d2c1d4-991ba58156761df3;gz%22	https://worldigitalinvestory.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/wp-includes/css/dist/block-library/style.minf801.css	(from https://worldigitalinvestory.com/)
11:45:11	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6442febb-7284080f7080481a;gz%22	https://worldigitalinvestory.com/feed/	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/feed/index.html	(from https://worldigitalinvestory.com/)
11:45:11	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6442febb-7284080f7080481a;gz%22	https://worldigitalinvestory.com/comments/feed/	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/comments/feed/index.html	(from https://worldigitalinvestory.com/)
11:45:12	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-645d55a3-6d2d9e288cbed670;gz%22	https://worldigitalinvestory.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.6	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/wp-content/plugins/contact-form-7/includes/css/stylescfaa.css	(from https://worldigitalinvestory.com/)
11:45:12	144883/144883	---M-Z	200	added ('OK')	text/css	etag:%22235f3-62e3765c-ecfc53f2cc2e4f6;gz%22	https://worldigitalinvestory.com/wp-content/themes/cryptoking/assets/bootstrap/css/bootstrap.min.css?ver=1.0	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/wp-content/themes/cryptoking/assets/bootstrap/css/bootstrap.min5152.css	(from https://worldigitalinvestory.com/)
11:45:13	73029/73029	---M-Z	200	added ('OK')	text/css	etag:%2211d45-62e3765c-29a05998604b2c9f;gz%22	https://worldigitalinvestory.com/wp-content/themes/cryptoking/assets/css/animate.css?ver=1.0	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/wp-content/themes/cryptoking/assets/css/animate5152.css	(from https://worldigitalinvestory.com/)
11:45:13	51295/51295	---M-Z	200	added ('OK')	text/css	etag:%22c85f-62e3765c-ce449fd869126098;gz%22	https://worldigitalinvestory.com/wp-content/themes/cryptoking/assets/css/ionicons.min.css?ver=1.0	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/wp-content/themes/cryptoking/assets/css/ionicons.min5152.css	(from https://worldigitalinvestory.com/)
11:45:14	3016/3016	---M-Z	200	added ('OK')	text/css	etag:%22bc8-62e3765c-3094475c3ce5dad2;gz%22	https://worldigitalinvestory.com/wp-content/themes/cryptoking/assets/owlcarousel/css/owl.carousel.min.css?ver=1.0	C:/My%20Web%20Sites/new%20work/worldigitalinvestory.com/wp-content/themes/cryptoking/assets/owlcarousel/css/owl.carousel.min5152.css	(from https://worldigitalinvestory.com/)
